"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2022","10.60","11.25","11.25","10.45","1.03M","-7.83%"
"05/10/2022","11.50","11.43","11.50","11.00","234.50K","0.88%"
"05/09/2022","11.40","12.00","12.01","11.40","1.40M","-5.32%"
"05/06/2022","12.04","12.40","12.40","12.01","29.50K","-0.17%"
"04/28/2022","12.06","12.25","12.25","12.00","419.50K","-4.81%"
"04/27/2022","12.67","12.56","12.67","12.56","7.50K","2.59%"
"04/26/2022","12.35","12.89","12.89","12.35","178.00K","-4.26%"
"04/25/2022","12.90","12.99","13.17","12.75","287.50K","1.18%"
"04/22/2022","12.75","12.90","12.90","12.60","261.00K","2.00%"
"04/21/2022","12.50","12.49","13.00","12.25","529.00K","1.63%"
"04/20/2022","12.30","12.85","12.85","12.07","281.00K","-3.53%"
"04/19/2022","12.75","13.27","13.97","12.75","785.00K","-2.00%"
"04/18/2022","13.01","13.10","13.35","12.96","160.00K","-0.99%"
"04/15/2022","13.14","13.40","13.50","13.14","311.00K","-1.57%"
"04/14/2022","13.35","12.81","13.49","12.81","225.50K","3.33%"
"04/13/2022","12.92","13.41","13.64","12.92","1.20M","-3.94%"
"04/12/2022","13.45","13.10","13.69","12.85","740.50K","2.67%"
"04/11/2022","13.10","12.99","13.28","12.75","2.22M","4.38%"
"04/08/2022","12.55","12.01","12.60","12.01","478.00K","5.46%"
"04/07/2022","11.90","12.01","12.25","11.90","268.50K","-1.57%"
"04/06/2022","12.09","12.02","12.10","11.90","173.00K","0.75%"
"04/05/2022","12.00","11.90","12.04","11.90","20.00K","0.76%"
"04/04/2022","11.91","12.00","12.35","11.90","295.50K","-4.03%"
"04/01/2022","12.41","12.11","13.00","12.10","491.50K","-2.28%"
"03/31/2022","12.70","12.47","12.70","12.36","297.50K","2.42%"
"03/30/2022","12.40","12.00","12.50","12.00","342.50K","1.64%"
"03/29/2022","12.20","12.39","12.45","12.02","106.00K","0.83%"
"03/28/2022","12.10","11.81","12.10","11.81","90.00K","1.68%"
"03/25/2022","11.90","11.81","12.00","11.81","159.00K","0.00%"
"03/24/2022","11.90","12.10","12.10","11.83","105.50K","0.00%"
"03/22/2022","11.90","11.98","12.00","11.80","99.00K","1.71%"
"03/21/2022","11.70","11.75","12.01","11.70","557.00K","0.86%"
"03/18/2022","11.60","12.00","12.00","11.60","286.00K","-4.76%"
"03/17/2022","12.18","12.25","12.25","12.18","12.50K","-1.06%"
"03/16/2022","12.31","12.30","12.68","12.30","156.00K","-1.44%"
"03/15/2022","12.49","11.90","12.49","11.65","1.72M","6.75%"
"03/14/2022","11.70","11.76","11.76","11.70","160.50K","-0.85%"
"03/11/2022","11.80","12.00","12.19","11.80","156.50K","-3.28%"
"03/10/2022","12.20","12.05","12.35","12.00","232.50K","3.83%"
"03/09/2022","11.75","12.20","12.20","11.71","228.00K","-2.08%"
"03/08/2022","12.00","11.70","12.00","11.70","1.36M","2.56%"
"03/07/2022","11.70","12.55","12.55","11.55","695.00K","-7.51%"
"03/04/2022","12.65","12.66","12.75","12.45","111.50K","1.20%"
"03/03/2022","12.50","12.80","12.80","12.50","58.50K","-1.57%"
"03/02/2022","12.70","12.51","12.80","12.31","750.00K","-0.70%"
"03/01/2022","12.79","12.50","13.00","12.25","954.50K","2.73%"
"02/28/2022","12.45","11.95","12.50","11.95","218.50K","3.41%"
"02/25/2022","12.04","12.10","12.20","11.63","178.50K","0.33%"
"02/24/2022","12.00","12.50","12.50","12.00","547.50K","-4.84%"
"02/23/2022","12.61","12.89","12.89","12.40","55.00K","0.48%"
"02/22/2022","12.55","12.51","12.73","12.40","477.50K","0.48%"
"02/21/2022","12.49","12.85","12.94","12.31","487.00K","-2.95%"
"02/18/2022","12.87","13.35","13.35","12.75","733.50K","-1.08%"
"02/17/2022","13.01","13.50","13.50","12.90","493.50K","-3.63%"
"02/16/2022","13.50","13.63","13.68","13.40","40.00K","0.30%"
"02/15/2022","13.46","13.50","13.75","13.20","312.50K","0.15%"
"02/14/2022","13.44","13.88","13.88","13.34","258.50K","-1.39%"
"02/11/2022","13.63","13.60","13.99","13.60","203.50K","-0.51%"
"02/10/2022","13.70","13.85","14.35","13.70","3.33M","0.29%"
"02/09/2022","13.66","13.55","13.89","13.45","669.50K","1.94%"
"02/08/2022","13.40","13.48","13.50","13.40","58.00K","-0.74%"
"02/07/2022","13.50","13.70","13.70","13.42","162.50K","0.22%"
"02/04/2022","13.47","13.65","13.70","13.47","193.50K","0.90%"
"02/03/2022","13.35","14.15","14.20","13.35","779.50K","-3.61%"
"02/02/2022","13.85","13.90","14.00","13.65","438.00K","0.73%"
"02/01/2022","13.75","13.58","14.00","13.55","630.00K","2.92%"
"01/31/2022","13.36","13.21","13.50","13.21","239.00K","1.60%"
"01/28/2022","13.15","13.20","13.49","13.07","158.50K","1.15%"
"01/27/2022","13.00","13.05","13.20","13.00","89.50K","-1.74%"
"01/26/2022","13.23","13.20","13.35","13.00","124.00K","0.23%"
"01/25/2022","13.20","13.40","13.60","13.18","211.50K","-1.12%"
"01/24/2022","13.35","13.55","13.60","13.35","233.00K","-1.48%"
"01/21/2022","13.55","13.25","13.68","13.25","53.00K","1.12%"
"01/20/2022","13.40","13.50","13.50","13.22","835.00K","-0.74%"
